Area Code,Area Code (M49),M49 Code,Area,Item Code (FBS),Item Code,Item,Year,target_year,result_type,food_supply_kcal_cap_day,eligible_for_2024_scoring,scoring_exclusion_reason,predicted_shortage_probability,risk_band,predicted_shortage_warning,evidence_review_level,eligible_for_headline_ranking,headline_ranking_exclusion_reason,missing_locked_feature_count,numeric_features_outside_training_range_count,non_year_features_outside_training_range_count,unknown_model_category_count,pair_has_historical_training_support,pair_historical_rows,pair_historical_shortages,pair_historical_shortage_rate,pair_predictor_year_start,pair_predictor_year_end,production_status,recorded_element_count,source_absent_element_count,source_present_missing_element_count,recorded_zero_element_count,recorded_negative_element_count,supply_outcome_recorded_count,supply_outcomes_complete,negative_domestic_supply_flag
46,'178,178,Congo,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,65.32,True,Eligible for prospective scoring,0.619498629148629,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,5,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,18,1,1,4,0,5,True,False
130,'454,454,Malawi,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,42.07,True,Eligible for prospective scoring,0.6106484126984126,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,4,1,0,0,True,13.0,7.0,0.5384615384615384,2010.0,2022.0,Recorded positive production,19,1,0,4,2,5,True,False
130,'454,454,Malawi,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,27.64,True,Eligible for prospective scoring,0.5291494949494947,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,5.0,4.0,0.8,2010.0,2022.0,Recorded positive production,17,3,0,2,0,5,True,False
184,'646,646,Rwanda,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,121.35,True,Eligible for prospective scoring,0.5034903318903319,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,5,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,17,1,2,2,1,5,True,False
137,'480,480,Mauritius,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,38.65,True,Eligible for prospective scoring,0.4445310522810525,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,3,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,19,1,0,4,0,5,True,False
175,'624,624,Guinea-Bissau,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,79.42,True,Eligible for prospective scoring,0.41324023754023764,High warning: 30% or more,1,Heightened evidence review,True,Eligible for headline ranking inputs,31,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,No production source row,14,6,0,4,0,5,True,False
196,'690,690,Seychelles,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,191.61,True,Eligible for prospective scoring,0.39785676545676546,High warning: 30% or more,1,Heightened evidence review,True,Eligible for headline ranking inputs,25,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,No production source row,16,3,1,5,0,5,True,False
123,'430,430,Liberia,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,25.23,True,Eligible for prospective scoring,0.3636912698412699,High warning: 30% or more,1,Heightened evidence review,True,Eligible for headline ranking inputs,27,1,0,0,True,13.0,6.0,0.46153846153846156,2010.0,2022.0,No production source row,14,6,0,4,0,5,True,False
75,'270,270,Gambia,'S2514,2514,Maize and products,2023,2024,Model-generated 2024 early-warning estimate,80.18,True,Eligible for prospective scoring,0.359653174603175,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,7,1,0,0,True,13.0,4.0,0.3076923076923077,2010.0,2022.0,Recorded positive production,18,1,1,5,0,5,True,False
122,'426,426,Lesotho,'S2518,2518,Sorghum and products,2023,2024,Model-generated 2024 early-warning estimate,11.42,True,Eligible for prospective scoring,0.3235256632256632,High warning: 30% or more,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,6.0,0.46153846153846156,2010.0,2022.0,Recorded positive production,18,2,0,4,0,5,True,False
